"scope","document_id","filename","source_url","bytes","sha256"
"technical-release","OMA-WAP-201_003-WTP-SIN","OMA-WAP-201_003-WTP-SIN-20020904-a.PDF","https://www.openmobilealliance.org/tech/affiliates/wap/OMA-WAP-201_003-WTP-SIN-20020904-a.PDF",32896,"d5e962f4ffd3f2fd70703ddbad1ea94f22d2f69956a8185d34e41a6502b52adc"
"technical-release","WAP-100-WAPArch","WAP-100-WAPArch-19980430-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-100-WAPArch-19980430-a.pdf",123506,"22b07da0456889db0dea58d06b0b8d59165421f49a1cdf336aea9abdd6420712"
"technical-release","WAP-120-WAPCachingMod","WAP-120-WAPCachingMod-20010413-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-120-WAPCachingMod-20010413-a.pdf",198194,"8aeacd0a36676d2b22c7ebee211f327049b712ca1ba0dc20faac7af24a9a17ee"
"technical-release","WAP-145_101-PushMessage","WAP-145_101-PushMessage-20010614-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-145_101-PushMessage-20010614-a.pdf",29839,"cf936b53eecb0a1aaca9bcd488dc4c10bc53b9291bd9aab60356c9bff034ad8d"
"technical-release","WAP-145-PushMessage","WAP-145-PushMessage-19990816-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-145-PushMessage-19990816-a.pdf",56410,"6bc284c1211673ec60a3872f1db0c00dc2730fad093dd9b58a23e6c838b6f07f"
"technical-release","WAP-151_100-PPGService","WAP-151_100-PPGService-20000218-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-151_100-PPGService-20000218-a.pdf",13964,"3ea7dbf4bc3f55b84cc3fe8f7455931fb477b58d18da33224eaa16f4207dbb3e"
"technical-release","WAP-151_101-PPGService","WAP-151_101-PPGService-20010422-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-151_101-PPGService-20010422-a.pdf",28646,"09d184d0e3debd8dc4db7d43d9cfffb55f201794cb83280fe02a9833b4e47ce9"
"technical-release","WAP-151_102-PPGService","WAP-151_102-PPGService-20010927-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-151_102-PPGService-20010927-a.pdf",41270,"2c1e0c354e96d6d39a53aaee8dd49d199f485ad391ddb97b7b9d3cc6c40e118e"
"technical-release","WAP-151-PPGService","WAP-151-PPGService-19990816-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-151-PPGService-19990816-a.pdf",93706,"c8c9254340745fedf70ec497489e7e5dcf7658d1a5d822b0079e4c07725ff837"
"technical-release","WAP-159-WDPWCMPAdapt","WAP-159-WDPWCMPAdapt-20010713-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-159-WDPWCMPAdapt-20010713-a.pdf",94211,"dbce0885ef85163751679bfb4fe7e28df3e95cbd45a713babe597a44a18ad7a0"
"technical-release","WAP-161_101-WMLScriptCrypto","WAP-161_101-WMLScriptCrypto-20010730-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-161_101-WMLScriptCrypto-20010730-a.pdf",32515,"894d3efd1859887160e908fa5459fbc3f44a3b56c9dba57783429a5223b8d0be"
"technical-release","WAP-161-WMLScriptCrypto","WAP-161-WMLScriptCrypto-20010620-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-161-WMLScriptCrypto-20010620-a.pdf",50603,"cb22101c9237a57022805c1ea6c1aa4e349e227bcbc634fb5e77249736458455"
"technical-release","WAP-164_100-PAP","WAP-164_100-PAP-20000218-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-164_100-PAP-20000218-a.pdf",42325,"9a90d8b6e8c3740cb7f34c77bd3c3bd067b26a627cdbd45788022d5ee5571463"
"technical-release","WAP-164_101-PAP","WAP-164_101-PAP-20010420-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-164_101-PAP-20010420-a.pdf",27164,"93a98822e3e0fbee172aab9f998469024b239cac9f5f1497dd6ff11531d766e8"
"technical-release","WAP-164_102-PAP","WAP-164_102-PAP-20010731-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-164_102-PAP-20010731-a.pdf",40446,"7fdd3c208174c5990afe58874973e8b435b2f37beb33c9d63193dd3f41cb5736"
"technical-release","WAP-164-PAP","WAP-164-PAP-19991108-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-164-PAP-19991108-a.pdf",231000,"e86d1bf47ad52bc3309f00d586feb792f36ad720b37997a42b523b019e4e27de"
"technical-release","WAP-165-PushArchOverview","WAP-165-PushArchOverview-19991108-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-165-PushArchOverview-19991108-a.pdf",212297,"f3e4c7d41555f1102ee633b379e30affeee678eada982d4cb8ad3689cabcbbc5"
"technical-release","WAP-167_103-ServiceInd","WAP-167_103-ServiceInd-20010926-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-167_103-ServiceInd-20010926-a.pdf",40952,"f365fb52fedb513e387a6ef4c9f5a16ae5ba70b5280b11fc4537671bcc789c7e"
"technical-release","WAP-167-ServiceInd","WAP-167-ServiceInd-20010731-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-167-ServiceInd-20010731-a.pdf",112765,"2addf05e776101fb5875b3b216e374125deba9b2fbe883578567394f57669f0d"
"technical-release","WAP-168_103-ServiceLoad","WAP-168_103-ServiceLoad-20010816-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-168_103-ServiceLoad-20010816-a.pdf",29452,"eb832f0290514113c3058de11598a435de17ace007b30f4b6df821fffd3e0440"
"technical-release","WAP-168-ServiceLoad","WAP-168-ServiceLoad-20010731-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-168-ServiceLoad-20010731-a.pdf",83537,"5e5d5566f3e46507a367a7a6748f4bacac6f63be6dca9c2b711ba1213973f42c"
"technical-release","WAP-169_101-WTA","WAP-169_101-WTA-20001107-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-169_101-WTA-20001107-a.pdf",40913,"f2a06a06bb5e93dc97663453546a1321f6a96b1dde3957c9fcf9a5803420f98a"
"technical-release","WAP-169_102-WTA","WAP-169_102-WTA-20010206-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-169_102-WTA-20010206-a.pdf",67905,"7d540740792ccadf1d5eb0f95480206a1e41811642ea244d3d195438d078152c"
"technical-release","WAP-169_104-WTA","WAP-169_104-WTA-20010508-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-169_104-WTA-20010508-a.pdf",159914,"c5d909eda81dc53192362af4e598ff6ae8ef51f1e15c710dfe59ed0b0508f600"
"technical-release","WAP-169_105-WTA","WAP-169_105-WTA-20010519-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-169_105-WTA-20010519-a.pdf",54320,"32fec298f2ed2a46c6b4ac049e2ba4c547ddf3cb7861b9b9f3d90334830252c3"
"technical-release","WAP-169-WTA","WAP-169-WTA-20000707-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-169-WTA-20000707-a.pdf",306094,"12ff66ca7a6c15ea6db7965ab951f8ba8ff1b5e6bddb70edc61f6b755375866b"
"technical-release","WAP-170_101-WTAI","WAP-170_101-WTAI-20010206-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-170_101-WTAI-20010206-a.pdf",65748,"ef51092bd4e206d637957b99d644ae623c8b8afca5179c27a20caec80a0a2134"
"technical-release","WAP-170_102-WTAI","WAP-170_102-WTAI-20010226-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-170_102-WTAI-20010226-a.pdf",64100,"7dba0d60c87ce98c0efd813967c94706d55d795c6cf6ae815524d47a7a0b90fe"
"technical-release","WAP-170-WTAI","WAP-170-WTAI-20000707-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-170-WTAI-20000707-a.pdf",239523,"edb994ff45f70e095898f19661fe8de724b456ce629cd4fc4a170cade115dcb0"
"technical-release","WAP-171_101-WTAIGSM","WAP-171_101-WTAIGSM-20010206-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-171_101-WTAIGSM-20010206-a.pdf",28389,"a9d4ae9aa5d390b251d08dba3e22a41a8f920fb23c0390ee11e64668246dc99b"
"technical-release","WAP-171_102-WTAIGSM","WAP-171_102-WTAIGSM-20010213-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-171_102-WTAIGSM-20010213-a.pdf",21688,"02c8f8e8e16a0bf32eed1ec1cd983808a9ec244b624c4926845b0bb3ba0042d4"
"technical-release","WAP-171_103-WTAIGSM","WAP-171_103-WTAIGSM-20010516-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-171_103-WTAIGSM-20010516-a.pdf",52452,"dbf2840b28f620a819831718201221949bd79b6a873c74096b4fd80d4fb8b922"
"technical-release","WAP-171-WTAIGSM","WAP-171-WTAIGSM-20000707-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-171-WTAIGSM-20000707-a.pdf",90336,"b4c609b10f90757f64b19c437ba7750b3fa97ac2139a14813e84eeba56fc01ef"
"technical-release","WAP-172_101-WTAIIS136","WAP-172_101-WTAIIS136-20010206-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-172_101-WTAIIS136-20010206-a.pdf",23169,"8859f4747b1bc73846ccedd1294b8c9b281b0fa590635a06a02cd59f5d8b62e8"
"technical-release","WAP-172-WTAIIS136","WAP-172-WTAIIS136-20000707-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-172-WTAIIS136-20000707-a.pdf",38425,"19734ee2645cdc87eae56d46f5ee3a2e542df7e178f950157d46470cf0ce8df4"
"technical-release","WAP-173_101-WTAIPDC","WAP-173_101-WTAIPDC-20010206-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-173_101-WTAIPDC-20010206-a.pdf",27324,"624ce5cad48fcbeb7d21f2ced0014fba29cfa487d5965a8bd334f5a411db6f5e"
"technical-release","WAP-173_102-WTAIPDC","WAP-173_102-WTAIPDC-20010507-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-173_102-WTAIPDC-20010507-a.pdf",22390,"99bfec4116b2e36b580861597089633fc2c5505fe6d7cf6ecb81ad87ea020ca3"
"technical-release","WAP-173-WTAIPDC","WAP-173-WTAIPDC-20000728-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-173-WTAIPDC-20000728-a.pdf",68795,"c148beba4b7a5098f8b146f7b40f2511838ba232d2749b20daadd75c3e416b6c"
"technical-release","WAP-174_003-UAPROF","WAP-174_003-UAPROF-20010208-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-174_003-UAPROF-20010208-a.pdf",52748,"3655e4ce55ffc3732c2385e5ccb7d2354005ef0004bb0d646146a5f84f181578"
"technical-release","WAP-174_004-UAPROF","WAP-174_004-UAPROF-20010208-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-174_004-UAPROF-20010208-a.pdf",54250,"82b3d4caecb101e7de4a69e6bf7b082299c37c4ede5fd0d7b4899afae96f402d"
"technical-release","WAP-174_006-UAPROF","WAP-174_006-UAPROF-20011002-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-174_006-UAPROF-20011002-a.pdf",65607,"0d5ca596f0fd387434a8ee0b35f8184177c8259c2323603b2c87552c55c055b1"
"technical-release","WAP-174_100-UAProf","WAP-174_100-UAProf-20000621-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-174_100-UAProf-20000621-a.pdf",195527,"34e5df65e1a29e7f4bf1f8a05ee1a00cd6f374b5f7e87f3c653a02707616cd2d"
"technical-release","WAP-174-UAProf","WAP-174-UAProf-19991110-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-174-UAProf-19991110-a.pdf",323743,"25dcf758e485c38066f0693990d596dd6874bf550a7b82ad42a5ca765f2e3011"
"technical-release","WAP-175_102-CacheOp","WAP-175_102-CacheOp-20010816-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-175_102-CacheOp-20010816-a.pdf",29064,"0cff9648815c1c2850a831a3770321901c4348d77ec7ecb1f92923bb0185eb6f"
"technical-release","WAP-175-CacheOp","WAP-175-CacheOp-20010731-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-175-CacheOp-20010731-a.pdf",69563,"98b9772ebffda32be714c18aa992c160d7ea5226179b967faffb0c66860d7c00"
"technical-release","WAP-188-WAPGenFormats","WAP-188-WAPGenFormats-20010710-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-188-WAPGenFormats-20010710-a.pdf",25210,"a36aadcd2294fbb363fcd5b141614f8bd5861193c6efe9f2c29e6422ba176810"
"technical-release","WAP-189_100-PushOTA","WAP-189_100-PushOTA-20001211-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-189_100-PushOTA-20001211-a.pdf",27295,"6049c87149a707c6b752d9c4a174d015ef66e10de6e607453f1be6ea9cb2de0b"
"technical-release","WAP-189_101-PushOTA","WAP-189_101-PushOTA-20010926-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-189_101-PushOTA-20010926-a.pdf",30445,"045089e802ad5bd83fbd3fdeab72ef60bbbeb96ba17a4d84295f62420378e4dc"
"technical-release","WAP-189-PushOTA","WAP-189-PushOTA-20000217-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-189-PushOTA-20000217-a.pdf",121487,"283bf534dd678225082c20c7c22c03f7d045b4ba661958b593c033ddf00e9624"
"technical-release","WAP-190_101-WAESpec","WAP-190_101-WAESpec-20001213-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-190_101-WAESpec-20001213-a.pdf",21716,"df5ad17ecc4aa407717dd61d42d0d4ff06878206684f64c66091b6f6d3e742c1"
"technical-release","WAP-190_102-WAESpec","WAP-190_102-WAESpec-20001213-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-190_102-WAESpec-20001213-a.pdf",19343,"9fd9013b166c31d679f40c8a7f369998498cedd265da810919ae09640045b98e"
"technical-release","WAP-190_103-WAESpec","WAP-190_103-WAESpec-20001213-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-190_103-WAESpec-20001213-a.pdf",19446,"743a22e09afb2e6277e750116b419e05221a2f032dab5186a26795643a218c52"
"technical-release","WAP-190_104-WAE-Spec","WAP-190_104-WAE-Spec-20010731-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-190_104-WAE-Spec-20010731-a.pdf",80657,"3a8b6c8e10b0472cb47391f7093e0562de9a8d521e462d98fff28df191923ba2"
"technical-release","WAP-190-WAESpec","WAP-190-WAESpec-20000329-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-190-WAESpec-20000329-a.pdf",147182,"92043389310057285b050afb8cb0a16c99f1651059be8ce61e1fab151c5c0182"
"technical-release","WAP-191_102-WML","WAP-191_102-WML-20001213-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-191_102-WML-20001213-a.pdf",20185,"4900fd9f728a3f3d6d698b06398c29e2861f5fd774dd8478553aadedc9721011"
"technical-release","WAP-191_104-WML","WAP-191_104-WML-20010718-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-191_104-WML-20010718-a.pdf",303180,"4c4a616f14204556045b9cbcebfdbc9a2408ae843e047b0730382abfbc8493f0"
